﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:64FQId1zlu45pAoH4gXvAu","Dreambender","Com Truise","In Decay","1","3","260000","spotify:user:padishahpiper","2017-10-05T03:31:17Z"
"spotify:track:5C6BbrGRGOzcadaqXwLhm5","We Work Nights","Gold Panda","Half Of Where You Live","1","7","357773","spotify:user:padishahpiper","2017-10-05T03:36:19Z"
"spotify:track:6OI4SUhPhLFQva56RiB1oM","Scan The Ways","Ms. John Soda","Notes And The Like","1","3","203800","spotify:user:padishahpiper","2017-10-05T04:06:59Z"
"spotify:track:629Cjw0fUyZUMkBjnjttDR","Places","Shlohmo","Bad Vibes","1","2","302210","spotify:user:padishahpiper","2017-10-05T04:29:13Z"
"spotify:track:0Ya2WSUWOSd1h2AcHciq5g","If Rah - Radio Edit","Underworld","If Rah (Remixes)","1","1","214347","spotify:user:padishahpiper","2017-10-05T03:15:58Z"
"spotify:track:6Q3jL19AxEKwqXbyaI7bnL","Tight","Sun Glitters","Mouth / Tight - EP","1","4","223509","spotify:user:padishahpiper","2017-10-05T04:04:38Z"
"spotify:track:6Sf7rZtL2hCqqrnu6d9XKZ","Spectre - Bibio Remix","Tycho, Bibio","Awake (Deluxe Version)","1","15","258265","spotify:user:padishahpiper","2017-10-05T03:28:44Z"
"spotify:track:4ZOv9mx6Lz7RRaBFi5UNaE","Aquarium","Nosaj Thing","Views/Octopus EP","1","4","184000","spotify:user:padishahpiper","2017-10-05T03:50:32Z"
"spotify:track:6PB1ccffcxDUvsJtViNEdo","Thrown","Kiasmos","Kiasmos","1","5","539229","spotify:user:padishahpiper","2017-10-05T03:52:17Z"
"spotify:track:1ZOO1cMEMpNuDQbMSjxHec","Colour Show","Ambassadeurs","Trouble","1","3","302707","spotify:user:padishahpiper","2017-10-04T23:10:14Z"
"spotify:track:1depKpsqGCvr8wtjFFaFoO","Aminals","Baths","Cerulean","1","5","198400","spotify:user:padishahpiper","2017-10-05T04:29:12Z"
"spotify:track:4SzeQVgNjow4JdsrXMBzwU","Nebula","Mr FijiWiji, Soulero","Friends EP","1","2","324853","spotify:user:padishahpiper","2017-10-04T23:10:46Z"
