"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:0xUzr3YfnBzdZa21UNDojX","Alex Chilton","spotify:artist:4WPY0N74T3KUja57xMQTZ3","The Replacements","spotify:album:1dXWzQaQR2CSEoIKGMciCD","Pleased to Meet Me","spotify:artist:4WPY0N74T3KUja57xMQTZ3","The Replacements","1987-03-03","https://i.scdn.co/image/ab67616d0000b273d2dad1a99389dcbd8f0a75d9","1","2","195706","https://p.scdn.co/mp3-preview/f2be91ae808f50bff05cedb82592e320f731c0ff?cid=9950ac751e34487dbbe027c4fd7f8e99","false","29","spotify:user:padishahpiper","2018-11-16T17:52:43Z"
"spotify:track:6bHdc4wvRGaNWnFga18dB5","It's Not Peculiar","spotify:artist:16bN8mhtDFdegWbg0z3s10","Hüsker Dü","spotify:album:1By3l3EcAlNZXJvSOHFJ98","Warehouse: Songs And Stories","spotify:artist:16bN8mhtDFdegWbg0z3s10","Hüsker Dü","1987","https://i.scdn.co/image/ab67616d0000b27349e8e701be825d40d27ca57a","1","14","249706","https://p.scdn.co/mp3-preview/c2a408f0ec6c3972fcfbad162281d8bdd474e78e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","17","spotify:user:padishahpiper","2018-11-16T18:12:11Z"
"spotify:track:0oYVSTay1EyC1JrYUgIruz","Stevie Nix","spotify:artist:3qkZBMz5JgmRN9u5wwhRC6","The Hold Steady","spotify:album:6dwLmhIIdFcaAlJXXqgtRq","Separation Sunday (Deluxe Version)","spotify:artist:3qkZBMz5JgmRN9u5wwhRC6","The Hold Steady","2005-05-04","https://i.scdn.co/image/ab67616d0000b2736f3cdc06d9ccee75f57fbbd6","1","6","325600","https://p.scdn.co/mp3-preview/a4311e3ae35816207df1a6591ddad53b02ee06f9?cid=9950ac751e34487dbbe027c4fd7f8e99","false","23","spotify:user:padishahpiper","2018-11-16T18:08:35Z"
"spotify:track:1A5V1sxyCLpKJezp75tUXn","Closing Time","spotify:artist:1TqQi97nqeiuOJrIFv5Sw0","Semisonic","spotify:album:4JDBx5wQ82jb8PjLYPBP8L","20th Century Masters: The Millennium Collection: Best Of Semisonic","spotify:artist:1TqQi97nqeiuOJrIFv5Sw0","Semisonic","2003-01-01","https://i.scdn.co/image/ab67616d0000b273dec0d479b10bccff532074ed","1","1","274160","https://p.scdn.co/mp3-preview/9f85a4fa95aa41bb590c7b8b5445e974ee332a7e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","74","spotify:user:padishahpiper","2018-11-16T18:29:04Z"
"spotify:track:7LdKMBKthcdBnAqlAIGqCB","See A Little Light","spotify:artist:0fWvSXbvztkeHEnEuYvU2A","Bob Mould","spotify:album:3VhSB8ozURez6qOSptLb15","Workbook","spotify:artist:0fWvSXbvztkeHEnEuYvU2A","Bob Mould","1989","https://i.scdn.co/image/ab67616d0000b273c09d0759175534092784264d","1","4","212066","https://p.scdn.co/mp3-preview/595c7dda92ce69adf8c388d56eb7b4f99a49ed06?cid=9950ac751e34487dbbe027c4fd7f8e99","false","38","spotify:user:padishahpiper","2018-11-16T18:44:21Z"
"spotify:track:5lPXKmlRLwpO3OxmYnof8c","Visionary","spotify:artist:16bN8mhtDFdegWbg0z3s10","Hüsker Dü","spotify:album:1By3l3EcAlNZXJvSOHFJ98","Warehouse: Songs And Stories","spotify:artist:16bN8mhtDFdegWbg0z3s10","Hüsker Dü","1987","https://i.scdn.co/image/ab67616d0000b27349e8e701be825d40d27ca57a","1","10","152573","https://p.scdn.co/mp3-preview/a04ce9d448b648bb067b8bb231dd38c76fcf0b28?cid=9950ac751e34487dbbe027c4fd7f8e99","false","18","spotify:user:padishahpiper","2018-11-16T18:11:55Z"
"spotify:track:41TVMXb9THdtTlo2KojUDe","Somebody to Shove","spotify:artist:02da1vDJ2hWqfK7aJL6SJm","Soul Asylum","spotify:album:3EFhsxrJoH3yE3r8bHheE6","Grave Dancers Union","spotify:artist:02da1vDJ2hWqfK7aJL6SJm","Soul Asylum","1992-01-01","https://i.scdn.co/image/ab67616d0000b273a1b5db0138571e123e6c5894","1","1","194733","https://p.scdn.co/mp3-preview/ad731dd80503ec364726425f9ea40fd763111d60?cid=9950ac751e34487dbbe027c4fd7f8e99","false","53","spotify:user:padishahpiper","2018-11-16T18:12:46Z"
"spotify:track:5Yhtl4uzxrAigO0IbiaEmz","Can't Hardly Wait","spotify:artist:4WPY0N74T3KUja57xMQTZ3","The Replacements","spotify:album:1dXWzQaQR2CSEoIKGMciCD","Pleased to Meet Me","spotify:artist:4WPY0N74T3KUja57xMQTZ3","The Replacements","1987-03-03","https://i.scdn.co/image/ab67616d0000b273d2dad1a99389dcbd8f0a75d9","1","11","183226","https://p.scdn.co/mp3-preview/6d782cd37b39fa653a309d41cfeb152c555f039c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","29","spotify:user:padishahpiper","2018-11-16T17:52:54Z"
"spotify:track:6eAgYOkZry9MLhWOS6BsQb","Turtledove","spotify:artist:4KKOBfwZxt68dDkjXNTeZD","Trip Shakespeare","spotify:album:76VSkqtHqg8lmHtTXEqz8V","Across The Universe","spotify:artist:4KKOBfwZxt68dDkjXNTeZD","Trip Shakespeare","1990-01-01","https://i.scdn.co/image/ab67616d0000b27361bfc19701567970a061d993","1","1","216533","https://p.scdn.co/mp3-preview/02add156db501886dceba0a8b3fcb6b4a13cc0fb?cid=9950ac751e34487dbbe027c4fd7f8e99","false","12","spotify:user:padishahpiper","2018-11-16T18:34:49Z"
"spotify:track:4o1zi6PeR3Nf54oW37cwL0","Broadway (So Many People)","spotify:artist:0wz0jO9anccPzH04N7FLBH","Low","spotify:album:4xqiQd6N06VKV7sSbz79PL","The Great Destroyer","spotify:artist:0wz0jO9anccPzH04N7FLBH","Low","2005-01-25","https://i.scdn.co/image/ab67616d0000b27326ef0371fcf8fbbf5b1b047c","1","10","434306","","false","0","spotify:user:padishahpiper","2018-11-16T18:35:42Z"
